Name of Earth Meteorite,ID of Earth Meteorite,Name Type,Recclass,Mass (g),Year,Latitude,Longitude,Coordinates
Canon City,5253,Valid,H6,,1973-01-01T00:00:00.000,38.470280,-105.241390,"[-105.24139, 38.47028]"
Cape Girardeau,5260,Valid,H6,,1846-01-01T00:00:00.000,37.266670,-89.583330,"[-89.58333, 37.26667]"
Capilla del Monte,5264,Valid,H6,,1934-01-01T00:00:00.000,-30.883330,-64.550000,"[-64.55, -30.88333]"
Carancas,45817,Valid,H4-5,,2007-01-01T00:00:00.000,-16.664440,-69.043890,"[-69.04389, -16.66444]"
Caratash,5265,Valid,LL6,,1902-01-01T00:00:00.000,38.500000,27.000000,"[27, 38.5]"
Castalia,5291,Valid,H5,,1874-01-01T00:00:00.000,36.083330,-78.066670,"[-78.06667, 36.08333]"
Castel Berardenga,5292,Valid,Stone-uncl,,1791-01-01T00:00:00.000,43.350000,11.500000,"[11.5, 43.35]"
Castine,5293,Valid,L6,,1848-01-01T00:00:00.000,44.383330,-68.750000,"[-68.75, 44.38333]"
Castrovillari,5295,Valid,Stone-uncl,,1583-01-01T00:00:00.000,39.800000,16.200000,"[16.2, 39.8]"
Caswell County,5296,Valid,OC,,1810-01-01T00:00:00.000,36.500000,-79.250000,"[-79.25, 36.5]"
Ceniceros,5306,Valid,L3.7,,1988-01-01T00:00:00.000,26.466670,-105.233330,"[-105.23333, 26.46667]"
Centerville,5307,Valid,H5,,1956-01-01T00:00:00.000,43.200000,-96.916670,"[-96.91667, 43.2]"
Cereseto,5308,Valid,H5,,1840-01-01T00:00:00.000,45.083330,8.300000,"[8.3, 45.08333]"
Chadong,5313,Valid,L6,,1998-01-01T00:00:00.000,28.533330,109.316670,"[109.31667, 28.53333]"
Chail,5314,Valid,H6,,1814-01-01T00:00:00.000,25.366670,81.666670,"[81.66667, 25.36667]"
Chainpur,5315,Valid,LL3.4,,1907-01-01T00:00:00.000,25.850000,83.483330,"[83.48333, 25.85]"
Chajari,5316,Valid,L5,,1933-01-01T00:00:00.000,-30.783330,-58.050000,"[-58.05, -30.78333]"
Chandakapur,5320,Valid,L5,,1838-01-01T00:00:00.000,20.266670,76.016670,"[76.01667, 20.26667]"
Chandpur,5321,Valid,L6,,1885-01-01T00:00:00.000,27.283330,79.050000,"[79.05, 27.28333]"
Changde,5322,Valid,H5,,1977-01-01T00:00:00.000,29.083330,111.750000,"[111.75, 29.08333]"
Chantonnay,5325,Valid,L6,,1812-01-01T00:00:00.000,46.683330,1.050000,"[1.05, 46.68333]"
Charlotte,5328,Valid,"Iron, IVA",,1835-01-01T00:00:00.000,36.166670,-87.333330,"[-87.33333, 36.16667]"
Charsonville,5329,Valid,H6,,1810-01-01T00:00:00.000,47.933330,1.566670,"[1.56667, 47.93333]"
Charwallas,5330,Valid,H6,,1834-01-01T00:00:00.000,29.483330,75.500000,"[75.5, 29.48333]"
Chassigny,5331,Valid,Martian (chassignite),,1815-01-01T00:00:00.000,47.716670,5.366670,"[5.36667, 47.71667]"
Château-Renard,5332,Valid,L6,,1841-01-01T00:00:00.000,47.933330,2.916670,"[2.91667, 47.93333]"
Chaves,5334,Valid,Howardite,,1925-01-01T00:00:00.000,41.933330,-7.466670,"[-7.46667, 41.93333]"
Chela,5338,Valid,H4,,1988-01-01T00:00:00.000,-3.666670,32.500000,"[32.5, -3.66667]"
Chelyabinsk,57165,Valid,LL5,,2013-01-01T00:00:00.000,54.816670,61.116670,"[61.11667, 54.81667]"
Chergach ,47347,Valid,H5,,2007-01-01T00:00:00.000,23.696390,-5.014720,"[-5.01472, 23.69639]"
Chernyi Bor,5339,Valid,H4,,1964-01-01T00:00:00.000,53.700000,30.100000,"[30.1, 53.7]"
Cherokee Springs,5340,Valid,LL6,,1933-01-01T00:00:00.000,35.033330,-81.883330,"[-81.88333, 35.03333]"
Chervettaz,5341,Valid,L5,,1901-01-01T00:00:00.000,46.550000,6.816670,"[6.81667, 46.55]"
Chervony Kut,5342,Valid,Eucrite-mmict,,1939-01-01T00:00:00.000,50.833330,34.000000,"[34, 50.83333]"
Chetrinahatti,5344,Valid,Stone-uncl,,1880-01-01T00:00:00.000,14.500000,76.500000,"[76.5, 14.5]"
Chiang Khan,5345,Valid,H6,,1981-01-01T00:00:00.000,17.900000,101.633330,"[101.63333, 17.9]"
Chicora,5349,Valid,LL6,,1938-01-01T00:00:00.000,40.933330,-79.733330,"[-79.73333, 40.93333]"
Chisenga,5355,Valid,"Iron, IIIAB",,1988-01-01T00:00:00.000,-10.059440,33.395000,"[33.395, -10.05944]"
Chitado,5356,Valid,L6,,1966-01-01T00:00:00.000,-17.350000,13.966670,"[13.96667, -17.35]"
Chitenay,5357,Valid,L6,,1978-01-01T00:00:00.000,47.470830,0.976670,"[0.97667, 47.47083]"
Cilimus,5364,Valid,L5,,1979-01-01T00:00:00.000,-6.950000,108.100000,"[108.1, -6.95]"
Claxton,5374,Valid,L6,,1984-01-01T00:00:00.000,32.102500,-81.872780,"[-81.87278, 32.1025]"
Clohars,5383,Valid,L4,,1822-01-01T00:00:00.000,,,[]
Colby (Wisconsin),5395,Valid,L6,,1917-01-01T00:00:00.000,44.900000,-90.283330,"[-90.28333, 44.9]"
Cold Bokkeveld,5397,Valid,CM2,,1838-01-01T00:00:00.000,-33.133330,19.383330,"[19.38333, -33.13333]"
Coleman,5401,Valid,L6,,1994-01-01T00:00:00.000,43.761110,-84.507780,"[-84.50778, 43.76111]"
Collescipoli,5403,Valid,H5,,1890-01-01T00:00:00.000,42.533330,12.616670,"[12.61667, 42.53333]"
Conquista,5418,Valid,H4,,1965-01-01T00:00:00.000,-19.850000,-47.550000,"[-47.55, -19.85]"
Cosina,5451,Valid,H5,,1844-01-01T00:00:00.000,21.166670,-100.866670,"[-100.86667, 21.16667]"
Cranganore,5465,Valid,L6,,1917-01-01T00:00:00.000,10.200000,76.266670,"[76.26667, 10.2]"
Crescent,5470,Valid,CM2,,1936-01-01T00:00:00.000,35.950000,-97.583330,"[-97.58333, 35.95]"
Cronstad,5474,Valid,H5,,1877-01-01T00:00:00.000,-27.700000,27.300000,"[27.3, -27.7]"
Cross Roads,5476,Valid,H5,,1892-01-01T00:00:00.000,35.633330,-78.133330,"[-78.13333, 35.63333]"
Crumlin,5477,Valid,L5,,1902-01-01T00:00:00.000,54.616670,-6.216670,"[-6.21667, 54.61667]"
Cumberland Falls,5496,Valid,Aubrite,,1919-01-01T00:00:00.000,36.833330,-84.350000,"[-84.35, 36.83333]"
Cynthiana,5500,Valid,L/LL4,,1877-01-01T00:00:00.000,38.400000,-84.250000,"[-84.25, 38.4]"
Dahmani,5504,Valid,LL6,,1981-01-01T00:00:00.000,35.616670,8.833330,"[8.83333, 35.61667]"
Dandapur,5511,Valid,L6,,1878-01-01T00:00:00.000,26.916670,83.966670,"[83.96667, 26.91667]"
Daniel's Kuil,5513,Valid,EL6,,1868-01-01T00:00:00.000,-28.200000,24.566670,"[24.56667, -28.2]"
Danville,5514,Valid,L6,,1868-01-01T00:00:00.000,34.400000,-87.066670,"[-87.06667, 34.4]"
Darmstadt,6603,Valid,H5,,1804-01-01T00:00:00.000,49.866670,8.650000,"[8.65, 49.86667]"
Dashoguz,6604,Valid,H5,,1998-01-01T00:00:00.000,41.984440,59.685000,"[59.685, 41.98444]"
Daule,51559,Valid,L5,,2008-01-01T00:00:00.000,-1.870890,-79.957560,"[-79.95756, -1.87089]"
De Cewsville,6621,Valid,H6,,1887-01-01T00:00:00.000,43.000000,-80.000000,"[-80, 43]"
Deal,6634,Valid,L6,,1829-01-01T00:00:00.000,40.250000,-74.000000,"[-74, 40.25]"
Delhi,6642,Valid,L5,,1897-01-01T00:00:00.000,28.566670,77.250000,"[77.25, 28.56667]"
Demina,6649,Valid,L6,,1911-01-01T00:00:00.000,51.466670,84.766670,"[84.76667, 51.46667]"
Denver,6660,Valid,L6,,1967-01-01T00:00:00.000,39.782500,-104.930560,"[-104.93056, 39.7825]"
Dergaon,6664,Valid,H5,,2001-01-01T00:00:00.000,26.683330,93.866670,"[93.86667, 26.68333]"
Desuri,6693,Valid,H6,,1962-01-01T00:00:00.000,25.733330,73.616670,"[73.61667, 25.73333]"
Devgaon,6694,Valid,H3.8,,2001-01-01T00:00:00.000,19.000000,81.000000,"[81, 19]"
Devri-Khera,6696,Valid,L6,,1994-01-01T00:00:00.000,24.225000,76.525000,"[76.525, 24.225]"
Dhajala,6698,Valid,H3.8,,1976-01-01T00:00:00.000,22.377780,71.427220,"[71.42722, 22.37778]"
Dharwar,6699,Valid,OC,,1848-01-01T00:00:00.000,14.883330,75.600000,"[75.6, 14.88333]"
Dhurmsala,7640,Valid,LL6,,1860-01-01T00:00:00.000,32.233330,76.466670,"[76.46667, 32.23333]"
Didim,47350,Valid,H3-5,,2007-01-01T00:00:00.000,37.351720,27.329970,"[27.32997, 37.35172]"
Diep River,7642,Valid,L6,,1906-01-01T00:00:00.000,-33.750000,18.566670,"[18.56667, -33.75]"
Distrito Quebracho,7649,Valid,H4,,1957-01-01T00:00:00.000,-31.883330,-60.466670,"[-60.46667, -31.88333]"
Djati-Pengilon,7652,Valid,H6,,1884-01-01T00:00:00.000,-7.500000,111.500000,"[111.5, -7.5]"
Djermaia,7656,Valid,H,,1961-01-01T00:00:00.000,12.733330,15.050000,"[15.05, 12.73333]"
Djoumine,7657,Valid,H5-6,,1999-01-01T00:00:00.000,36.950000,9.550000,"[9.55, 36.95]"
Dokachi,7658,Valid,H5,,1903-01-01T00:00:00.000,23.500000,90.333330,"[90.33333, 23.5]"
Dolgovoli,7659,Valid,L6,,1864-01-01T00:00:00.000,50.750000,25.300000,"[25.3, 50.75]"
Domanitch,7661,Valid,L5,,1907-01-01T00:00:00.000,40.000000,29.000000,"[29, 40]"
Dong Ujimqin Qi,7706,Valid,Mesosiderite,,1995-01-01T00:00:00.000,45.500000,119.033330,"[119.03333, 45.5]"
Donga Kohrod,7707,Valid,H6,,1899-01-01T00:00:00.000,21.866670,82.450000,"[82.45, 21.86667]"
Dongtai,7708,Valid,LL6,,1970-01-01T00:00:00.000,32.916670,120.783330,"[120.78333, 32.91667]"
Doroninsk,7718,Valid,H5-7,,1805-01-01T00:00:00.000,51.200000,112.300000,"[112.3, 51.2]"
Dosso,7722,Valid,L6,,1962-01-01T00:00:00.000,13.050000,3.166670,"[3.16667, 13.05]"
Douar Mghila,7723,Valid,LL6,,1932-01-01T00:00:00.000,32.333330,-6.300000,"[-6.3, 32.33333]"
Dowa,7725,Valid,Stone-uncl,,1976-01-01T00:00:00.000,-13.666670,33.916670,"[33.91667, -13.66667]"
Drake Creek,7728,Valid,L6,,1827-01-01T00:00:00.000,36.400000,-86.500000,"[-86.5, 36.4]"
Dresden (Ontario),7731,Valid,H6,,1939-01-01T00:00:00.000,42.520000,-82.260000,"[-82.26, 42.52]"
Dubrovnik,7736,Valid,L3-6,,1951-01-01T00:00:00.000,42.458330,18.441670,"[18.44167, 42.45833]"
Dunbogan,7743,Valid,L6,,1999-01-01T00:00:00.000,-31.666670,152.833330,"[152.83333, -31.66667]"
Dundrum,7745,Valid,H5,,1865-01-01T00:00:00.000,52.550000,-8.033330,"[-8.03333, 52.55]"
Dunhua,7749,Valid,Stone-uncl,,1976-01-01T00:00:00.000,43.333330,128.250000,"[128.25, 43.33333]"
Durala,7750,Valid,L6,,1815-01-01T00:00:00.000,30.300000,76.633330,"[76.63333, 30.3]"
Duruma,7752,Valid,L6,,1853-01-01T00:00:00.000,-4.000000,39.500000,"[39.5, -4]"
